,rating,n_reviews,f_rating,s_rating,v_rating,about,price_range,s_diets,cuisines,features,Name,URL,name_letter
78,5.0,254 ,5.0,5.0,4.5,,?4 - ?15,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Southern-Italian",,Oi Vita Pizzeria,https://www.tripadvisor.com/Restaurant_Review-g186338-d11961993-Reviews-Oi_Vita_Pizzeria-London_England.html,oivitapizzeria
87,5.0,533 ,4.5,5.0,5.0,,?8 - ?22,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Mediterranean, Italian, Bar, Pizza, Pub, Sicilian, Southern-Italian",,The Prince of Greenwich Pub,https://www.tripadvisor.com/Restaurant_Review-g186338-d7159326-Reviews-The_Prince_of_Greenwich_Pub-London_England.html,theprinceofgreenwichpub
88,5.0,960 ,4.5,5.0,4.5,,?6 - ?17,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Cafe, British",,E Pellicci,https://www.tripadvisor.com/Restaurant_Review-g186338-d731643-Reviews-E_Pellicci-London_England.html,epellicci
89,4.5,1960 ,4.5,4.5,4.5,,,"Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Table Service","Seafood, Fast Food, British","Lunch, Dinner, Late Night",Fishcotheque,https://www.tripadvisor.com/Restaurant_Review-g186338-d1316331-Reviews-Fishcotheque-London_England.html,fishcotheque
91,5.0,257 ,5.0,5.0,4.5,,?10 - ?30,Gluten Free Options,"Steakhouse, European, British",,Knife Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d10825060-Reviews-Knife_Restaurant-London_England.html,kniferestaurant
92,5.0,168 ,4.5,4.5,4.5,"Osteria Napoletana offers traditional Neapolitan and Campanian dishes, with quality ingredients, everything surrounded by a chic atmosphere and at the same time genuine.",?15 - ?30,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Seafood, Mediterranean, Neapolitan, Campania, Southern-Italian","Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, Full Bar, Digital Payments",Osteria Napoletana,https://www.tripadvisor.com/Restaurant_Review-g186338-d17383940-Reviews-Osteria_Napoletana-London_England.html,osterianapoletana
93,4.5,2728 ,4.5,4.5,4.5,"For Table Bookings https://iran-restaurant-mayfair.resos.com/booking Since opening our Iran Restaurant in 2001, weÃÂ¢ÃÂÃÂve been providing delicious food and refreshing drinks, in beautiful surro",?36 - ?36,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Healthy, Middle Eastern, Persian","Delivery, Takeout, Reservations, Outdoor Seating, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",Iran Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d733340-Reviews-Iran_Restaurant-London_England.html,iranrestaurant
95,5.0,131 ,5.0,5.0,4.5,,?12 - ?48,"Vegetarian Friendly, Gluten Free Options","European, Wine Bar",,Humble Grape Liverpool Street,https://www.tripadvisor.com/Restaurant_Review-g186338-d13462998-Reviews-Humble_Grape_Liverpool_Street-London_England.html,humblegrapeliverpoolstreet
96,5.0,137 ,4.5,4.5,4.5,,?18 - ?36,"Vegetarian Friendly, Gluten Free Options","Mediterranean, European, Spanish",,Llerena. Iberico Tapas Bar,https://www.tripadvisor.com/Restaurant_Review-g186338-d13341128-Reviews-Llerena_Iberico_Tapas_Bar-London_England.html,llerena.ibericotapasbar
97,4.5,715 ,4.0,4.0,4.0,,?6 - ?17,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Bar, British",,Revolution Bar Clapham High Street,https://www.tripadvisor.com/Restaurant_Review-g186338-d8382000-Reviews-Revolution_Bar_Clapham_High_Street-London_England.html,revolutionbarclaphamhighstreet
98,5.0,156 ,5.0,5.0,5.0,,?6 - ?16,"Vegetarian Friendly, Vegan Options, Gluten Free Options","French, European",,Chez Antoinette Victoria,https://www.tripadvisor.com/Restaurant_Review-g186338-d16948705-Reviews-Chez_Antoinette_Victoria-London_England.html,chezantoinettevictoria
99,4.5,2115 ,4.0,4.0,4.0,,?14 - ?36,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Indian, Asian, Balti, Bangladeshi",,The Monsoon,https://www.tripadvisor.com/Restaurant_Review-g186338-d1550869-Reviews-The_Monsoon-London_England.html,themonsoon
100,4.5,804 ,4.5,4.5,4.5,,?31 - ?48,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Mediterranean, European, Romana, Lazio, Central-Italian",,Osteria Romana,https://www.tripadvisor.com/Restaurant_Review-g186338-d13149344-Reviews-Osteria_Romana-London_England.html,osteriaromana
101,5.0,214 ,5.0,4.5,4.5,We are closed from 29th August till 3rd September 2019 for our yearly summer closure. We reopen on the 4th September 2019.See you in September .Chez Abir Management,?8 - ?18,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lebanese, Mediterranean, Middle Eastern","Takeout, Reservations, Seating, Highchairs Available, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Delivery, Accepts Credit Cards, Table Service",Chez Abir Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d1014977-Reviews-Chez_Abir_Restaurant-London_England.html,chezabirrestaurant
102,5.0,138 ,4.5,5.0,4.5,,?7 - ?34,"Vegetarian Friendly, Vegan Options, Gluten Free Options","European, British",,Alcedo Bistro & Bar,https://www.tripadvisor.com/Restaurant_Review-g186338-d10701523-Reviews-Alcedo_Bistro_Bar-London_England.html,alcedobistro&bar
103,5.0,197 ,5.0,5.0,5.0,,?7 - ?23,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Pizza, Seafood, Mediterranean, European, Neapolitan, Campania, Southern-Italian",,Tonis Amalfi,https://www.tripadvisor.com/Restaurant_Review-g186338-d12947166-Reviews-Tonis_Amalfi-London_England.html,tonisamalfi
104,5.0,225 ,5.0,5.0,4.5,,,Dinner,"Japanese, Seafood, Sushi, Asian",Gluten Free Options,Sushi Tetsu,https://www.tripadvisor.com/Restaurant_Review-g186338-d3314573-Reviews-Sushi_Tetsu-London_England.html,sushitetsu
105,5.0,542 ,5.0,5.0,4.5,"Since launching in 2018, Barge East has become a prominent destination for food and drink in East London - a number one rated restaurant on TripAdvisor 2019/2020. Following on from this, we have now l",?6 - ?18,"Vegetarian Friendly, Vegan Options, Gluten Free Options",British,"Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Wine and Beer, Live Music, Waterfront, Dog Friendly, Gift Cards Av",Barge East Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d14766290-Reviews-Barge_East_Restaurant-London_England.html,bargeeastrestaurant
106,4.5,692 ,4.5,4.5,4.5,"Modern Classic Thai Cuisine. Beautifully executed cooking is the hallmark of this Thai restaurant, situated slightly opposite the Olympic Studios/ Cinema on Church Road in Barnes. Our mission is to si",?8 - ?24,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Asian, Thai","Highchairs Available, Free Wifi, Delivery, Takeout, Reservations, Seating, Street Parking, Free off-street parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Exp",Awesome Thai #Barnes,https://www.tripadvisor.com/Restaurant_Review-g186338-d3490463-Reviews-Awesome_Thai_Barnes-London_England.html,awesomethai#barnes
108,4.5,226 ,4.5,5.0,4.5,,?15 - ?22,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Indian, Asian, Nepali",,Nepal Authentic Dining,https://www.tripadvisor.com/Restaurant_Review-g186338-d2013731-Reviews-Nepal_Authentic_Dining-London_England.html,nepalauthenticdining
109,4.5,529 ,4.5,4.5,4.5,,,"Lunch, Dinner","Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",Anjanaas,https://www.tripadvisor.com/Restaurant_Review-g186338-d2699789-Reviews-Anjanaas-London_England.html,anjanaas
110,5.0,674 ,5.0,5.0,4.5,Tangia is an independent family run trendy restaurant serving Moroccan and Mediterranean dishes with a modern gourmet twist. We also have seating for those seeking a coffee or just a drink from the ba,?12 - ?30,"Vegetarian Friendly, Vegan Options, Halal",Mediterranean,"Delivery, Takeout, Seating, Street Parking, Free off-street parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Wheelchai",taNgia,https://www.tripadvisor.com/Restaurant_Review-g186338-d7391044-Reviews-TaNgia-London_England.html,tangia
111,5.0,226 ,4.5,5.0,5.0,"Fantastic New Lebanese ""excellent"" dishes are presented with ""understated flair"" so ""Delicious"" not shy to ask for more. Your choice of wraps and salads create your own dish,""Eat how you like not how ",?6 - ?30,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lebanese, Middle Eastern, Mediterranean","Takeout, Reservations, Outdoor Seating, Seating, Street Parking, Television, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Wheelchair Accessible, Accepts Cre",Wassouf Lounge,https://www.tripadvisor.com/Restaurant_Review-g186338-d6619139-Reviews-Wassouf_Lounge-London_England.html,wassouflounge
112,4.5,1128 ,4.5,4.5,4.5,Your local for fine Indian cuisine in west Kensington. Find the best Indian food in the town. Order online or just walk in to collect your food.,,"Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Delivery, Takeout, Reservations, Seating, Wheelchair Accessible, Accepts Mastercard, Accepts Visa, Cash Only, Accepts Credit Cards, Table Service, BYOB","Indian Express, West Kensington",https://www.tripadvisor.com/Restaurant_Review-g186338-d4002133-Reviews-Indian_Express_West_Kensington-London_England.html,"indianexpress,westkensington"
113,5.0,1454 ,4.5,5.0,5.0,,?5 - ?24,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Pizza, Mediterranean, European",,Fiddieâs Italian Kitchen,https://www.tripadvisor.com/Restaurant_Review-g186338-d8734724-Reviews-Fiddie_s_Italian_Kitchen-London_England.html,fiddieâsitaliankitchen
114,5.0,238 ,5.0,5.0,5.0,,,"Lunch, Dinner","Italian, Pizza, Neapolitan, Campania, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options",Mio Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d11881554-Reviews-Mio_Restaurant-London_England.html,miorestaurant
115,5.0,326 ,4.5,4.5,4.5,,?10 - ?25,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Mediterranean, Seafood, Middle Eastern, International",,Filika Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d13565344-Reviews-Filika_Restaurant-London_England.html,filikarestaurant
116,5.0,465 ,5.0,5.0,4.5,"Morso is a modern community-centred restaurant and bar, serving hand-crafted fresh pasta and small plates of Italian bites alongside innovative Grappa-based cocktails. We take inspiration from Italian",?12 - ?30,"Vegetarian Friendly, Gluten Free Options, Vegan Options","Italian, Bar, Mediterranean, European, Contemporary","Gift Cards Available, Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Street Parking, Wine and Beer, Di",Morso Abbey Road,https://www.tripadvisor.com/Restaurant_Review-g186338-d14190070-Reviews-Morso_Abbey_Road-London_England.html,morsoabbeyroad
118,5.0,606 ,5.0,5.0,4.5,,?30 - ?60,"Vegetarian Friendly, Vegan Options, Gluten Free Options",Sushi,,Rock Star Sushi Bar,https://www.tripadvisor.com/Restaurant_Review-g186338-d6575472-Reviews-Rock_Star_Sushi_Bar-London_England.html,rockstarsushibar
120,5.0,295 ,5.0,5.0,4.5,"The Great Chase is a multi award winning , fine eating, ALCOHOL FREE RESTAURANT like no other. Here, passion for sublime cuisine meets the desire for a wonderful ambience within which to enjoy it. Our",,"Lunch, Dinner","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Reservations, Seating, Accepts Credit Cards, Table Service, Gift Cards Available",The Great Chase London,https://www.tripadvisor.com/Restaurant_Review-g186338-d12697784-Reviews-The_Great_Chase_London-London_England.html,thegreatchaselondon
121,5.0,180 ,5.0,5.0,4.5,,?3 - ?14,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Cafe, European, British, Healthy",,Cafe Van Gogh,https://www.tripadvisor.com/Restaurant_Review-g186338-d10191943-Reviews-Cafe_Van_Gogh-London_England.html,cafevangogh
122,4.5,971 ,4.5,4.5,4.0,,?30 - ?60,Gluten Free Options,"Steakhouse, Grill, Argentinean",,Buenos Aires Argentine Steakhouse,https://www.tripadvisor.com/Restaurant_Review-g186338-d4242819-Reviews-Buenos_Aires_Argentine_Steakhouse-London_England.html,buenosairesargentinesteakhouse
123,4.5,304 ,4.5,5.0,4.5,"At Monkey Temple, we worship food. We believe food allows people to share, connect and stay healthy in their mind, body and spirit. Choosing only the freshest, seasonal and authentic ingredients, our ",?12 - ?30,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Indian, Asian, Nepali","Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Delivery, Takeout, Reservations, Street Parking, Wheelc",Monkey Temple,https://www.tripadvisor.com/Restaurant_Review-g186338-d6759550-Reviews-Monkey_Temple-London_England.html,monkeytemple
124,5.0,212 ,5.0,5.0,5.0,,?24 - ?42,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Indian, Asian",,Shahi Pakwaan,https://www.tripadvisor.com/Restaurant_Review-g186338-d12116313-Reviews-Shahi_Pakwaan-London_England.html,shahipakwaan
125,4.5,1100 ,4.5,4.5,4.0,,?22 - ?35,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Indian, Asian",,Memories of India Kensington,https://www.tripadvisor.com/Restaurant_Review-g186338-d1017393-Reviews-Memories_of_India_Kensington-London_England.html,memoriesofindiakensington
126,5.0,228 ,5.0,5.0,4.5,,,"Breakfast, Lunch, Dinner","Italian, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",Fine Foods,https://www.tripadvisor.com/Restaurant_Review-g186338-d7015028-Reviews-Fine_Foods-London_England.html,finefoods
127,5.0,255 ,5.0,5.0,4.5,,,"Drinks, Lunch, Dinner","Italian, Pizza, Mediterranean, European, Sicilian, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options",Tomo Pizzeria & Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d1801860-Reviews-Tomo_Pizzeria_Restaurant-London_England.html,tomopizzeria&restaurant
128,5.0,246 ,4.5,5.0,4.5,,?12 - ?38,"Vegetarian Friendly, Vegan Options, Gluten Free Options","British, Healthy, European",,Home SW15,https://www.tripadvisor.com/Restaurant_Review-g186338-d12962245-Reviews-Home_SW15-London_England.html,homesw15
129,5.0,288 ,4.5,4.5,4.5,Treves & Hyde is a carefully thought out space that has a welcoming feel where you sit and watch the world go by through their floor to ceiling window or sit at the bar sipping cocktails. Open for bre,?9 - ?59,"Vegetarian Friendly, Vegan Options, Gluten Free Options","European, British, Grill, Healthy","Takeout, Reservations, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service, Outdoor Seat",Treves & Hyde,https://www.tripadvisor.com/Restaurant_Review-g186338-d11768375-Reviews-Treves_Hyde-London_England.html,treves&hyde
130,5.0,2405 ,4.5,4.5,4.0,,?20 - ?50,"Vegetarian Friendly, Vegan Options, Gluten Free Options","American, British, Canadian, Central American",,Hard Rock Cafe Piccadilly Circus,https://www.tripadvisor.com/Restaurant_Review-g186338-d17728520-Reviews-Hard_Rock_Cafe_Piccadilly_Circus-London_England.html,hardrockcafepiccadillycircus
132,5.0,120 ,5.0,5.0,4.5,,?15 - ?50,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Fusion, International",,The Gojk,https://www.tripadvisor.com/Restaurant_Review-g186338-d13457082-Reviews-The_Gojk-London_England.html,thegojk
133,4.5,264 ,4.5,4.5,4.5,,?10 - ?25,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Mediterranean, Barbecue, Turkish, Middle Eastern",,Cirrik 19 Numara Bos,https://www.tripadvisor.com/Restaurant_Review-g186338-d730384-Reviews-Cirrik_19_Numara_Bos-London_England.html,cirrik19numarabos
134,4.5,3936 ,4.5,4.5,4.0,"The third restaurant to be opened by acclaimed chef brothers Chris and Jeff Galvin, La Chapelle has been consistently praised, winning no less than 8 top restaurant awards in its first year, including",?66 - ?180,"Vegetarian Friendly, Vegan Options, Gluten Free Options",French,"Reservations, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Jazz Bar, Gift Cards Available",Galvin La Chapelle,https://www.tripadvisor.com/Restaurant_Review-g186338-d1645957-Reviews-Galvin_La_Chapelle-London_England.html,galvinlachapelle
135,4.5,1205 ,4.5,4.5,4.0,,,"Lunch, Dinner, Brunch, Late Night","Italian, Pizza, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",Sergio's,https://www.tripadvisor.com/Restaurant_Review-g186338-d1044630-Reviews-Sergio_s-London_England.html,sergios
137,4.5,1775 ,4.5,4.5,4.5,"Chops and steaks from award winning butcher and farmer Philip Warren in Cornwall, all cooked over a real charcoal grill alongside seasonal sides. Wine on tap and cocktails for a fiver as well as a Sun",?18 - ?36,Gluten Free Options,"Steakhouse, Barbecue, British","Highchairs Available, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Seating, Accepts Credit Cards, Table Service",Blacklock Soho,https://www.tripadvisor.com/Restaurant_Review-g186338-d7707197-Reviews-Blacklock_Soho-London_England.html,blacklocksoho
138,5.0,317 ,4.5,5.0,4.5,,?18 - ?108,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Chinese, Taiwanese, Street Food",,Chojo,https://www.tripadvisor.com/Restaurant_Review-g186338-d15057719-Reviews-Chojo-London_England.html,chojo
139,5.0,299 ,4.5,4.5,4.5,,?5 - ?14,"Lunch, Dinner, Brunch, Drinks","Vegetarian Friendly, Vegan Options",,Limin',https://www.tripadvisor.com/Restaurant_Review-g186338-d15266279-Reviews-Limin-London_England.html,limin
141,4.5,419 ,4.5,4.5,4.5,,?15 - ?19,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Indian, Asian",,Hazara,https://www.tripadvisor.com/Restaurant_Review-g186338-d3386941-Reviews-Hazara-London_England.html,hazara
142,4.5,469 ,4.5,4.5,4.5,,?14 - ?28,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Pizza, European, Neapolitan, Campania, Southern-Italian",,Caminata,https://www.tripadvisor.com/Restaurant_Review-g186338-d2008532-Reviews-Caminata-London_England.html,caminata
144,4.5,202 ,5.0,5.0,4.5,,,"Lunch, Dinner, Drinks","British, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",Sam's Riverside,https://www.tripadvisor.com/Restaurant_Review-g186338-d19273952-Reviews-Sam_s_Riverside-London_England.html,samsriverside
146,4.5,424 ,4.0,4.0,4.0,"Since we opened, our focus and aim has been to provide quality authentic Italian food, along with a fantastic customer service that you canÃÂ¢ÃÂÃÂt help notice from the moment you enter our doors",?8 - ?19,"Gluten Free Options, Vegetarian Friendly, Vegan Options","Italian, Pizza, Seafood, Mediterranean, European, Tuscan, Romana, Lazio, Sicilian, Central-Italian, Southern-Italian","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service",Venerdi,https://www.tripadvisor.com/Restaurant_Review-g186338-d3961550-Reviews-Venerdi-London_England.html,venerdi
147,4.5,1136 ,4.5,4.5,4.0,"Located at JW Marriott Grosvenor House London in London, United Kingdom, JW Steakhouse has firmly established itself as a leading American Steakhouse on the Mayfair dining scene. Featuring succulent U",?27 - ?65,"Vegetarian Friendly, Gluten Free Options","American, Steakhouse, British","Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Gift C",JW Steakhouse,https://www.tripadvisor.com/Restaurant_Review-g186338-d1785869-Reviews-JW_Steakhouse-London_England.html,jwsteakhouse
148,4.5,339 ,4.5,4.5,5.0,,?18 - ?37,"Vegetarian Friendly, Vegan Options, Gluten Free Options","European, British, International, Contemporary",,"The Vincent Rooms Brasserie, Bar & Escoffier Restaurant",https://www.tripadvisor.com/Restaurant_Review-g186338-d2441081-Reviews-The_Vincent_Rooms_Brasserie_Bar_Escoffier_Restaurant-London_England.html,"thevincentroomsbrasserie,bar&escoffierrestaurant"
149,4.5,2404 ,4.5,4.5,4.0,,,"Lunch, Dinner, Late Night",Indian,"Vegetarian Friendly, Vegan Options, Gluten Free Options",Little India,https://www.tripadvisor.com/Restaurant_Review-g186338-d1016157-Reviews-Little_India-London_England.html,littleindia
150,4.5,206 ,5.0,5.0,5.0,,,"Breakfast, Lunch, Brunch","Cafe, European, British","Vegetarian Friendly, Vegan Options, Gluten Free Options",Fast Break,https://www.tripadvisor.com/Restaurant_Review-g186338-d12246210-Reviews-Fast_Break-London_England.html,fastbreak
152,4.5,880 ,4.5,4.5,4.5,,?24 - ?36,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Indian, Asian, Healthy",,Palms of Goa,https://www.tripadvisor.com/Restaurant_Review-g186338-d2154460-Reviews-Palms_of_Goa-London_England.html,palmsofgoa
153,5.0,375 ,4.5,5.0,4.5,,?34 - ?72,"Vegetarian Friendly, Vegan Options, Gluten Free Options","European, British",,Peninsula Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d10148721-Reviews-Peninsula_Restaurant-London_England.html,peninsularestaurant
154,4.5,2301 ,4.5,4.5,4.0,"At Steak & Co. Quality runs through our veins, we are so proud of everything we do, we have our logo etched into the restaurants nuts and bolts, stamped onto our butter lids and our training manuals d",,"Lunch, Dinner, Late Night",Gluten Free Options,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available",Steak & Co. Garrick Street Covent Garden,https://www.tripadvisor.com/Restaurant_Review-g186338-d3639543-Reviews-Steak_Co_Garrick_Street_Covent_Garden-London_England.html,steak&co.garrickstreetcoventgarden
155,4.5,741 ,5.0,5.0,4.5,,?60 - ?108,"Vegetarian Friendly, Vegan Options, Gluten Free Options",British,,Ormer Mayfair,https://www.tripadvisor.com/Restaurant_Review-g186338-d10682050-Reviews-Ormer_Mayfair-London_England.html,ormermayfair
156,4.5,277 ,4.5,4.5,4.5,,,"Lunch, Dinner","Italian, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",Pentolina,https://www.tripadvisor.com/Restaurant_Review-g186338-d2256999-Reviews-Pentolina-London_England.html,pentolina
158,4.5,322 ,4.5,4.5,4.5,"Azou is one of the most inviting restaurants on Chiswick's King Street. Marking it out most is the high-quality North African food offering fine flavours from Morocco, Tunisia and Algeria. The menu re",?19 - ?42,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","African, Moroccan, Mediterranean, Middle Eastern, Algerian","Takeout, Wheelchair Accessible, Reservations, Seating, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",Azou,https://www.tripadvisor.com/Restaurant_Review-g186338-d698082-Reviews-Azou-London_England.html,azou
160,4.5,171 ,4.5,5.0,5.0,,,"Breakfast, Lunch, Dinner, Brunch","Cafe, British","Vegetarian Friendly, Vegan Options, Gluten Free Options",Little Wonder Cafe,https://www.tripadvisor.com/Restaurant_Review-g186338-d3343549-Reviews-Little_Wonder_Cafe-London_England.html,littlewondercafe
161,4.5,618 ,4.5,4.5,4.0,,?2 - ?38,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Bar, Barbecue, British, Pub",,Lord Wargrave,https://www.tripadvisor.com/Restaurant_Review-g186338-d1044772-Reviews-Lord_Wargrave-London_England.html,lordwargrave
162,4.5,1512 ,4.5,4.5,4.5,"Located a few minutes walk from Covent Garden. Da Mario is a small Italian family Restaurant in London serving fresh made pasta, fish, seafood, meat dishes and home-made desserts and some of the fines",?30 - ?60,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Mediterranean, European, Healthy","Outdoor Seating, Reservations, Seating, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Street Parking, Wine and Beer, Family",Da Mario Covent Garden,https://www.tripadvisor.com/Restaurant_Review-g186338-d718583-Reviews-Da_Mario_Covent_Garden-London_England.html,damariocoventgarden
163,4.5,205 ,4.5,5.0,4.5,,?7 - ?44,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Mediterranean, Middle Eastern, Egyptian",,Alexandrie Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d7589353-Reviews-Alexandrie_Restaurant-London_England.html,alexandrierestaurant
164,5.0,108 ,4.5,5.0,4.5,,?18 - ?30,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Indian, Asian",,Kamasutra Indian Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d16801424-Reviews-Kamasutra_Indian_Restaurant-London_England.html,kamasutraindianrestaurant
165,4.5,418 ,4.5,4.5,4.5,,?5 - ?25,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Mediterranean, Tuscan, Central-Italian, Northern-Italian, Southern-Italian",,Grato,https://www.tripadvisor.com/Restaurant_Review-g186338-d17385148-Reviews-Grato-London_England.html,grato
166,4.5,615 ,5.0,4.5,4.5,,,"Lunch, Dinner","British, Contemporary, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",Frog By Adam Handling,https://www.tripadvisor.com/Restaurant_Review-g186338-d12883339-Reviews-Frog_By_Adam_Handling-London_England.html,frogbyadamhandling
167,4.5,368 ,4.5,4.5,4.5,,?11 - ?19,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Bar, British, Pub",,The Peasant,https://www.tripadvisor.com/Restaurant_Review-g186338-d720286-Reviews-The_Peasant-London_England.html,thepeasant
169,4.5,277 ,5.0,4.5,4.5,,,"Lunch, Dinner, Drinks","Pizza, Neapolitan, Campania, Southern-Italian, Italian","Vegetarian Friendly, Vegan Options",Rudy's Neapolitan Pizza,https://www.tripadvisor.com/Restaurant_Review-g186338-d23432728-Reviews-Rudy_s_Neapolitan_Pizza-London_England.html,rudysneapolitanpizza
170,4.5,1088 ,5.0,5.0,4.5,,,"Lunch, Dinner, Brunch","Seafood, British","Vegetarian Friendly, Gluten Free Options",Fishers Restaurant & Takeaway,https://www.tripadvisor.com/Restaurant_Review-g186338-d3515065-Reviews-Fishers_Restaurant_Takeaway-London_England.html,fishersrestaurant&takeaway
171,4.5,789 ,4.5,4.0,4.0,"As an authentic Italian restaurant, we are pleased to take our place among the great restaurants in Canary Wharf, London. At Capeesh we do things differently. We are one of the finest restaurants in C",?5 - ?100,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Pizza","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Digital Payments, Free Wifi, Accepts Credit Cards, Tab",Capeesh,https://www.tripadvisor.com/Restaurant_Review-g186338-d13001816-Reviews-Capeesh-London_England.html,capeesh
